Question:
What are the metrics of evaluation over the seel.cse.lsu.edu/data/re17.zip  dataset?

Generated SPARQL:
 PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX wgsn: <http://wgsn.org/ontology/gnass/>
     PREFIX wgsn-ls: <http://wgsn.org/ontology/gnass/#>
     PREFIX wgsn-eval: <http://wgsn.org/ontology/gnass/#evaluation>
     PREFIX wgsn-metrics: <http://wgsn.org/ontology/gnass/#metrics>
     PREFIX wgsn-dataset: <http://wgsn.org/ontology/gnass/#dataset>
     PREFIX wgsn-datasetType: <http://wgsn.org/ontology/gnass/#datasetType>
     PREFIX wgsn-datasetFormat: <http://wgsn.org/ontology/gnass/#datasetFormat>
     PREFIX wgsn-datasetSource: <http://wgsn.org/ontology/gnass/#datasetSource>
     PREFIX wgsn-datasetURL: <http://wgsn.org/ontology/gnass/#datasetURL>
     PREFIX wgsn-evaluationMetric: <http://wgsn.org/ontology/gnass/#evaluationMetric>
     PREFIX wgsn-evaluationMetricType: <http://wgsn.org/ontology/gnass/#evaluationMetricType>
     PREFIX wgsn-evaluationMetricName: <http://wgsn.org/ontology/gnass/#evaluationMetricName>
     PREFIX wgsn-evaluationMetricDescription: <http://wgsn.org/
