Question:
List the code links in papers that use the A3C FF (1 day) hs model in any benchmark?

Generated SPARQL:
 PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     PREFIX dcat: <http://www.w3.org/ns/dcat/>
     PREFIX w3c: <http://www.w3.org/2012/07/owl#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX vocab: <http://purl.org/vocab/iso19115.1/>
     PREFIX bio: <http://purl.org/bio/obo/inchi/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX schema: <http://schema.org/>
     PREFIX dcat: <http://www.w3.org/ns/dcat/>
     PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>
     PREFIX w3c: <http://www.w3.org/2002/07/owl#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX vocab: <http://purl.org/vocab/iso19115.1/>
     PREFIX bio: <http://purl.org/bio/obo/inchi/>
     PREFIX fma: <http://purl.obolibrary.org/obo/fma/>
     PREFIX cgit: <http://purl.org/cgit/>
     PREFIX obo: <http://purl.obolibrary.org/obo/>
     PREFIX oboInChI: <http://p
