Question:
Indicate the model that performed best in terms of F1 metric on the CoNLL 2012 benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearchknowledgegraph.org/>
     PREFIX wdt: <http://www.wikidata.org/property/>
     PREFIX wd: <http://www.wikidata.org/entity/>
     SELECT?model?metric?metricValue
     WHERE {
      ?model wdt:P281 wd:Q15611142.
      ?metric wdt:P314?metricValue.
      ?metric wdt:P314?metricValue.
      ?model rdfs:label?modelLabel.
       FILTER (lang(?modelLabel) = 'en')
       FILTER (REGEX(LCASE(?modelLabel) = '.*model.*') || REGEX(LCASE(?modelLabel) = '.*crf.*') || REGEX(LCASE(?modelLabel) = '.*perceptron.*') || REGEX(LCASE(?modelLabel) = '.*svm.*') || REGEX(LCASE(?modelLabel) = '.*logistic.*'))
       FILTER (REGEX(LCASE(?metricLabel) = 'f1') || REGEX(LCASE(?metricLabel) = 'f1_macro') || REGEX(LCASE(?metricLabel) = 'f1_micro'))
     } 
     LIMIT 1 
     ORDER BY DESC(?metricValue) 
     LIMIT 1 
     RETURN?model?metric?metricValue. 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { }
