Question:
Indicate the model that performed best in terms of F1 metric on the PubMed 20k RCT benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/ontology#>
     PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX bio2vec: <http://www.bi2vec.org/ontology#>
     PREFIX bio2vecModel: <http://www.bi2vec.org/model#>
     PREFIX f1: <http://www.bi2vec.org/ontology#>
     PREFIX PubMed: <http://www.bi2vec.org/ontology#>
     PREFIX PubMedRct: <http://www.bi2vec.org/ontology#>
     PREFIX PubMedRctBenchmark: <http://www.bi2vec.org/ontology#>
     PREFIX PubMedRctBenchmark_20k: <http://www.bi2vec.org/ontology#>
     PREFIX Bio2vec: <http://www.bi2vec.org/ontology#>
     PREFIX Bio2vecModel: <http://www.bi2vec.org/model#>
     PREFIX Bio2vecModel_20k: <http://www.bi2vec.org/model#>
     PREFIX Bio2vecModel_20k_Rct: <http://www.bi2vec.org/model#>
     PREFIX Bio2vecModel_20k_RctBenchmark: <http://www.bi2vec.org/model#>
     PREFIX PubMedRctBenchmark_20k: <http://www.bi2vec.org/ontology#>
     PREFIX wdt: <http://www.wikidata.org/prop/direct/>
     PREFIX wdtLabel: <http://www.wikidata.org/prop/direct/>
     PREFIX wd: <http://www.wikidata.org/entity/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbpediaLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRedirect: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRedirectLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdf: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfType: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfTypeLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValue: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueType: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueType: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueTypeLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueType: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValue: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueTypeLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueType: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueType: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdf: <http://dbpedia.org/ontology/>
     PREFIX dbpediaLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRedirect: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRedirectLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfType: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfTypeLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValue: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueLabel: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueType: <http://dbpedia.org/ontology/>
     PREFIX dbpediaRdfValueType: <http://dbpedia.org/ontology/>
     PREFIX dbpedia
