Question:
Indicate the model that performed best in terms of PARAMS metric on the FGVC Aircraft benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://orkg.io/ontology#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX schema: <http://schema.org/>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbpedia-labs: <http://dbpedia-labs.org/ontology/>
     PREFIX orkg-benchmark: <http://orkg.io/ontology/benchmark#>
     PREFIX orkg-model: <http://orkg.io/ontology/model#>
     PREFIX orkg-parameters: <http://orkg.io/ontology/parameters#>
     PREFIX orkg-results: <http://orkg.io/ontology/results#>
     PREFIX orkg-metrics: <http://orkg.io/ontology/metrics#>
     PREFIX orkg-dataset: <http://orkg.io/ontology/dataset#>
     PREFIX orkg-performance: <http://orkg.io/ontology/performance#>
     PREFIX orkg-benchmark-dataset: <http://orkg.io/ontology/benchmark/dataset#>
     PREFIX orkg-benchmark-metric: <http://orkg.io/ontology/benchmark/metric#>
     PREFIX orkg-model-performance: <http://orkg.io/ontology/model/performance#>
     PREFIX orkg-model-param: <http://orkg.io/ontology/model/parameter#>
     PREFIX orkg-results-performance: <http://orkg.io/ontology/results/performance#>
     PREFIX orkg-results-param: <http://orkg.io/ontology/results/parameter#>
     PREFIX orkg-results-metric: <http://orkg.io/ontology/results/metric#>
     PREFIX orkg-metric: <http://orkg.io/ontology/metric#>
     PREFIX orkg-performance-param: <http://orkg.io/ontology/performance/parameter#>
     PREFIX orkg-performance-metric: <http://orkg.io/ontology/performance/metric#>
     PREFIX orkg-dataset-performance: <http://orkg.io/ontology/dataset/performance#>
     PREFIX orkg-dataset-param: <http://orkg.io/ontology/dataset/parameter#>
     PREFIX orkg-dataset-metric: <http://orkg.io/ontology/dataset/metric#>
     PREFIX orkg-benchmark-dataset-performance: <http://orkg.io/ontology/benchmark/dataset/performance#>
     PREFIX orkg-benchmark-dataset-param: <http://orkg.io/ontology/benchmark/dataset/parameter#>
     PREFIX orkg-benchmark-dataset-metric: <http://orkg.io/ontology/benchmark/dataset/metric#>
     PREFIX orkg-benchmark-metric: <http://orkg.io/ontology/benchmark/metric#>
     PREFIX orkg-benchmark-performance: <http://orkg.io/ontology/benchmark/performance#>
     PREFIX orkg-benchmark-performance-param: <http://orkg.io/ontology/benchmark/performance/parameter#>
     PREFIX orkg-benchmark-performance-metric: <http://orkg.io/ontology/benchmark/performance/metric#>
     PREFIX orkg-benchmark-results: <http://orkg.io/ontology/benchmark/results#>
     PREFIX orkg-benchmark-results-param: <http://orkg.io/ontology/benchmark/results/parameter#>
     PREFIX orkg-benchmark-results-metric: <http://orkg.io/ontology/benchmark/results/metric#>
     PREFIX orkg-benchmark-parameters: <http://orkg.io/ontology/benchmark/parameters#>
     PREFIX orkg-benchmark-parameters-param: <http://orkg.io/ontology/benchmark/parameters/parameter#>
     PREFIX orkg-benchmark-parameters-metric: <http://orkg.io/ontology/benchmark/parameters/metric#>
     PREFIX orkg-model-parameters: <http://orkg.io/ontology/model/parameters#>
     PREFIX orkg-model-parameters-param: <http://orkg.io/ontology/model/parameters/parameter#>
     PREFIX orkg-model-parameters-metric: <http://orkg.io/ontology/model/parameters/metric#>
     PREFIX orkg-model
