Question:
What evaluation metrics are commonly used when benchmarking models on the ARC-PDN dataset?

Generated SPARQL:
 PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl>
     PREFIX schema: <http://schema.org/>
     PREFIX orkg: <https://www.orkg.org/>

     SELECT?evaluation?hasBenchmark?recall?microF1?macroF1?accuracy?ndcg10?quantitativeMethods?hasUncertaintyValue?hasUncertaintyUnit?referenceSystem?classificationSystem?reportingLevel?hasMethod?method?dataset?trainingSet?validationSet?hasClasses?numberOfType?propertyOfDataset?tabularDataset?datasetAnnotationType?splitInto?lessonLearned?alignedWithFairPrinciples?coreParticipant?table?column?row?classes?entity?avgRow?avgColumn?ceaTarget?ctaTarget?cpaTarget?acceptedSubmission?rejectedSubmission?poster?columnEntityAnnotation?columnTypeAnnotation?columnPropertyAnnotation?matchingStrategy?systemModule?tableSelectionTechnique?labelGenerationTechnique?splittingTechnique?city?method?pm25PrcntChange?coLocatedWith?dbpediaProperties?schemaOrgProperty?schemaOrgClass?ctaParticipant

    WHERE {
       ?evaluation a orkg:Evaluation.
       ?hasBenchmark a orkg:HasBenchmark.
       ?recall a orkg:Recall.
       ?microF1 a orkg:MicroF1.
       ?macroF1 a orkg:MacroF1.
       ?accuracy a orkg:Accuracy.
       ?ndcg10 a orkg:Ndcg@10.
       ?quantitativeMethods a orkg:QuantitativeMethods.
       ?hasUncertaintyValue a orkg:HasUncertaintyValue.
       ?hasUncertaintyUnit a orkg:HasUncertaintyUnit.
       ?referenceSystem a orkg:ReferenceSystem.
       ?classificationSystem a orkg:ClassificationSystem.
       ?reportingLevel a orkg:ReportingLevel.
       ?hasMethod a orkg:Method.
       ?method a orkg:Method.
       ?dataset a orkg:Dataset.
       ?trainingSet a orkg:TrainingSet.
       ?validationSet a orkg:ValidationSet.
       ?hasClasses a orkg:HasClasses.
       ?numberOfType a orkg:NumberOfDataset.
       ?datasetAnnotationType a orkg:Dataset.
       ?splitInto a orkg:SplitInto.
       ?lessonLearned a orkg:LessonLearned.
       ?alignedWithFairPrinciples a orkg:AlignedWithFairPrinciples a orkg:AlignedWithFairPrinciples a orkg:AlignedWithFairPrinciples a orkg:Dataset.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation.
       ?evaluation a orkg:Evaluation
