Question:
List the metrics that are used to evaluate models on the ImageNet 64x64 benchmark dataset?

Generated SPARQL:
PREFIX orkg: <http://orkg.org/orkg/>
PREFIX dcterms: <http://purl.org/dc/terms/>

SELECT DISTINCT?metric
WHERE {
 ?evaluation a orkg:Evaluation.
 ?evaluation orkg:hasEvaluation?metric.
 ?dataset a orkg:Dataset ; 
           orkg:hasProperty orkg:P215 ; 
           orkg:hasProperty orkg:P216 ; 
           orkg:hasProperty orkg:P217 ; 
           orkg:hasProperty orkg:P218 ; 
           orkg:hasProperty orkg:P219 ; 
           orkg:hasProperty orkg:P220 ; 
           orkg:hasProperty orkg:P221 ; 
           orkg:hasProperty orkg:P222 ; 
           orkg:hasProperty orkg:P223 ; 
           orkg:hasProperty orkg:P224 ; 
           orkg:hasProperty orkg:P225 ; 
           orkg:hasProperty orkg:P226 ; 
           orkg:hasProperty orkg:P227 ; 
           orkg:hasProperty orkg:P228 ; 
           orkg:hasProperty orkg:P229 ; 
           orkg:hasProperty orkg:P230 ; 
           orkg:hasProperty orkg:P231 ; 
           orkg:hasProperty orkg:P232 ; 
           orkg:hasProperty orkg:P233 ; 
           orkg:hasProperty orkg:P234 ; 
           orkg:hasProperty orkg:P235 ; 
           orkg:hasProperty orkg:P236 ; 
           orkg:hasProperty orkg:P237 ; 
           orkg:hasProperty orkg:P238 ; 
           orkg:hasProperty orkg:P239 ; 
           orkg:hasProperty orkg:P240 ; 
           orkg:hasProperty orkg:P241 ; 
           orkg:hasProperty orkg:P242 ; 
           orkg:hasProperty orkg:P243 ; 
           orkg:hasProperty orkg:P244 ; 
           orkg:hasProperty orkg:P245 ; 
           orkg:hasProperty orkg:P246 ; 
           orkg:hasProperty orkg:P247 ; 
           orkg:hasProperty orkg:P248 ; 
           orkg:hasProperty orkg:P249 ; 
           orkg:hasProperty orkg:P250 ; 
           orkg:hasProperty orkg:P251 ; 
           orkg:hasProperty orkg:P252 ; 
           orkg:hasProperty orkg:P253 ; 
           orkg:hasProperty orkg:P254 ; 
           orkg:hasProperty orkg:P255 ; 
           orkg:hasProperty orkg:P256 ; 
           orkg:hasProperty orkg:P257 ; 
           orkg:hasProperty orkg:P258 ; 
           orkg:hasProperty orkg:P259 ; 
           orkg:hasProperty orkg:P260 ; 
           orkg:hasProperty orkg:P261 ; 
           orkg:hasProperty orkg:P262 ; 
           orkg:hasProperty orkg:P263 ; 
           orkg:hasProperty orkg:P264 ; 
           orkg:hasProperty orkg:P265 ; 
           orkg:hasProperty orkg:P266 ; 
           orkg:hasProperty orkg:P267 ; 
           orkg:hasProperty orkg:P268 ; 
           orkg:hasProperty orkg:P269 ; 
           orkg:hasProperty orkg:P270 ; 
           orkg:hasProperty orkg:P271 ; 
           orkg:hasProperty orkg:P272 ; 
           orkg:hasProperty orkg:P273 ; 
           orkg:hasProperty orkg:P274 ; 
           orkg:hasProperty orkg:P275 ; 
           orkg:hasProperty orkg:P276 ; 
           orkg:hasProperty orkg:P277 ; 
           orkg:hasProperty orkg:P278 ; 
           orkg:hasProperty orkg:P279 ; 
           orkg:hasProperty orkg:P280 ; 
           orkg:hasProperty orkg:P281 ; 
           orkg:hasProperty orkg:P282 ; 
           orkg:hasProperty orkg:P283 ; 
           orkg:hasProperty orkg:P284 ; 
           orkg:hasProperty orkg:P285 ; 
           orkg:hasProperty orkg:P286 ; 
           orkg:hasProperty orkg:P287 ; 
           orkg:hasProperty orkg:P288 ; 
           orkg:hasProperty orkg:P289 ; 
           orkg:hasProperty orkg:P290 ; 
           orkg:hasProperty orkg:P291 ; 
           orkg:hasProperty orkg:P292 ; 
           orkg:hasProperty orkg:P293 ; 
           orkg:hasProperty orkg:P294 ;
