Question:
What are the titles and IDs of research papers that include a benchmark for the HoC dataset?

Generated SPARQL:
 ```sparql
SELECT?paper?paper_lbl
WHERE {
 ?dataset       a            orkgc:Dataset;
                  rdfs:label   ?dataset_lbl.
  FILTER (str(?dataset_lbl) = "HoC dataset")
 ?benchmark      orkgp:HAS_DATASET      ?dataset.
 ?cont          orkgp:HAS_BENCHMARK     ?benchmark.
 ?paper         orkgp:P31               ?cont;
                  rdfs:label            ?paper_lbl.
}
```    END sparql
    SELECT?paper?paper_lbl
WHERE {
 ?dataset       a            orkgc:Dataset;
                  rdfs:label   ?dataset_lbl.
  FILTER (str(?dataset_lbl) = "HoC dataset")
 ?benchmark      orkgp:HAS_DATASET      ?dataset.
 ?cont          orkgp:HAS_BENCHMARK     ?benchmark.
 ?paper         orkgp:P31               ?cont;
                  rdfs:label            ?paper_lbl.
}
```    END sparql
    ```sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql
```    END sparql

