Question:
Can you list the models that have been evaluated on the MultiNLI dataset?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/ontology/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX dbp: <http://dbpedia.org/ontology/>
     PREFIX schema: <http://schema.org/>
     PREFIX wd: <http://www.wikidata.org/entity/>
     SELECT?model?modelLabel 
     WHERE { 
    ?model schema:description "Model".
    ?model schema:description "MultiNLI".
    ?model schema:description "Dataset".
    ?model schema:description "Evaluation".
    ?model schema:description "NLI".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNQLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Task".
    ?model schema:description "MultiNLI".
    ?model schema:description "Evaluation".
    ?model schema:description "Dataset".
    ?model schema:description "MultiNLI".
    ?model schema
