Question:
What models are being evaluated on the MedSTS dataset?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/ontology/>
     PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     PREFIX veda: <http://veda.hypothesis.org/>
     PREFIX veda_label: <http://veda.hypothesis.org/label/>
     PREFIX veda_label_v2: <http://veda.hypothesis.org/v2/label/>
     PREFIX veda_paper: <http://veda.hypothesis.org/paper/>
     PREFIX veda_paper_v2: <http://veda.hypothesis.org/v2/paper/>
     PREFIX veda_label_v2_paper: <http://veda.hypothesis.org/v2/label/paper/>
     PREFIX veda_paper_label: <http://veda.hypothesis.org/label/paper/>
     PREFIX veda_dataset: <http://veda.hypothesis.org/dataset/>
     PREFIX veda_dataset_v2: <http://veda.hypothesis.org/v2/dataset/>
     PREFIX veda_dataset_label: <http://veda.hypothesis.org/label/dataset/>
     PREFIX veda_dataset_label_v2: <http://veda.hypothesis.org/v2/label/dataset/>
     PREFIX veda_paper_label_v2: <http://veda.hypothesis.org/v2/label/paper/dataset/>
     PREFIX orkg_paper: <http://orkg.org/ontology/paper/>
     PREFIX orkg_paper_v2: <http://orkg.org/ontology/v2/paper/>
     PREFIX orkg_dataset: <http://orkg.org/ontology/dataset/>
     PREFIX orkg_dataset_v2: <http://orkg.org/ontology/v2/dataset/>
     PREFIX orkg_label: <http://orkg.org/ontology/label/>
     PREFIX orkg_label_v2: <http://orkg.org/ontology/v2/label/>
     PREFIX orkg_paper_label: <http://orkg.org/ontology/label/paper/>
     PREFIX orkg_paper_label_v2: <http://orkg.org/ontology/v2/label/paper/>
     PREFIX orkg_dataset_label: <http://orkg.org/ontology/label/dataset/>
     PREFIX orkg_dataset_label_v2: <http://orkg.org/ontology/v2/label/dataset/>
     PREFIX orkg_paper_label_v2_dataset: <http://orkg.org/ontology/v2/label/paper/dataset/>
     PREFIX orkg_paper_label_v2_dataset: <http://orkg.org/ontology/v2/label/paper/dataset/>
     PREFIX orkg_paper_label_dataset: <http://orkg.org/ontology/label/paper/dataset/>
     PREFIX orkg_paper_label_dataset_v2: <http://orkg.org/ontology/v2/label/paper/dataset/>
     PREFIX orkg_paper_label_dataset_v2: <http://orkg.org/ontology/v2/label/paper/dataset/>
     PREFIX orkg: <http://orkg.org/ontology/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     PREFIX veda: <http://veda.hypothesis.org/>
     PREFIX veda_label: <http://veda.hypothesis.org/label/>
     PREFIX veda_label_v2: <http://veda.hypothesis.org/v2/label/>
     PREFIX veda_paper: <http://veda.hypothesis.org/paper/>
     PREFIX veda_paper_v2: <http://veda.hypothesis.org/v2/paper/>
     PREFIX veda_label_v2_paper: <http
