Question:
Could you provide a list of models that have been tested on the SST-2 Binary classification benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearchknowledgegraph.org/ontology/>
     PREFIX wdt: <http://www.wikidata.org/property/>
     PREFIX p: <http://www.wikidata.org/property/>
     SELECT?model?modelLabel
     WHERE {
      ?model wdt:P31 wd:Q5.
      ?model wdt:P147?test.
      ?test wdt:P162 "SST-2 Binary classification benchmark".
      ?model rdfs:label?modelLabel.
       FILTER (lang(?modelLabel) = "en").
       BIND (GROUP_CONCAT(DISTINCT?model) SEPARATED BY "," AS?models) AS?modelsList
     } GROUP BY?modelsList
     HAVING (COUNT(DISTINCT?model) > 1) 
     ORDER BY (ASC(?modelsList)) 
     LIMIT 10
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END {
