Question:
Can you list the models that have been evaluated on the ImageNet ReaL dataset?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/ontology/>
     SELECT?model?label
     WHERE {
      ?model orkg:hasModelEvaluation?evaluation.
      ?evaluation orkg:evaluationType?type.
      ?evaluation orkg:evaluationDataset?dataset.
      ?dataset orkg:name "ImageNet ReaL".
      ?model orkg:hasModel?modelLabel.
      ?modelLabel orkg:label?label.
       FILTER (STR(?type) = "Evaluation" AND STR(?dataset) = "ImageNet ReaL")
     } 
    LIMIT 10 
    OFFSET 0 
    SERVICE orkg:dataset 
    SERVICE orkg:model 
    SERVICE orkg:evaluation 
    SERVICE orkg:label 
    SERVICE orkg:ontology 
    SERVICE orkg:query 
    SERVICE orkg:datasetLabel 
    SERVICE orkg:modelLabel 
    SERVICE orkg:evaluationType 
    SERVICE orkg:evaluationDatasetLabel 
    SERVICE orkg:label 
    SERVICE orkg:ontologyLabel 
    SERVICE orkg:queryLabel 
    SERVICE orkg:datasetLabel 
    SERVICE orkg:modelLabel 
    SERVICE orkg:evaluationTypeLabel 
    SERVICE orkg:evaluationDatasetLabel 
    SERVICE orkg:labelLabel 
    SERVICE orkg:queryLabel 
    SERVICE orkg:ontologyLabel 
    SERVICE orkg:datasetLabel 
    SERVICE orkg:modelLabel 
    SERVICE orkg:evaluationDatasetLabel 
    SERVICE orkg:evaluationTypeLabel 
    SERVICE orkg:labelLabel 
    SERVICE orkg:ontologyLabel 
    SERVICE orkg:queryLabel 
    SERVICE orkg:query 
    SERVICE orkg:dataset 
    SERVICE orkg:model 
    SERVICE orkg:evaluation 
    SERVICE orkg:label 
    SERVICE orkg:ontology 
    SERVICE orkg:datasetLabel 
    SERVICE orkg:modelLabel 
    SERVICE orkg:evaluationTypeLabel 
    SERVICE orkg:evaluationDatasetLabel 
    SERVICE orkg:labelLabel 
    SERVICE orkg:ontologyLabel 
    SERVICE orkg:queryLabel 
    SERVICE orkg:query 
    SERVICE orkg:dataset 
    SERVICE orkg:model 
    SERVICE orkg:evaluation 
    SERVICE orkg:label 
    SERVICE orkg:ontology 
    SERVICE orkg:datasetLabel 
    SERVICE orkg:modelLabel 
    SERVICE orkg:evaluationDatasetLabel 
    SERVICE orkg:evaluationTypeLabel 
    SERVICE orkg:labelLabel 
    SERVICE orkg:ontologyLabel 
    SERVICE orkg:queryLabel 
    SERVICE orkg:query 
    SERVICE orkg:dataset 
    SERVICE orkg:model 
    SERVICE orkg:evaluation 
    SERVICE orkg:label 
    SERVICE orkg:ontology 
    SERVICE orkg:datasetLabel 
    SERVICE orkg:modelLabel 
    SERVICE orkg:evaluationDatasetLabel 
    SERVICE orkg:evaluationTypeLabel 
    SERVICE orkg:labelLabel 
    SERVICE orkg:ontologyLabel 
    SERVICE orkg:queryLabel 
    SERVICE orkg:query 
    SERVICE orkg:dataset 
    SERVICE orkg:model 
    SERVICE orkg:evaluation 
    SERVICE orkg:label 
    SERVICE orkg:ontology 
    SERVICE orkg:datasetLabel 
    SERVICE orkg:modelLabel 
    SERVICE orkg:evaluationDatasetLabel 
    SERVICE orkg:evaluationTypeLabel 
    SERVICE orkg:labelLabel 
    SERVICE orkg:ontologyLabel 
    SERVICE orkg:queryLabel 
    SERVICE orkg:query 
    SERVICE orkg:dataset 
    SERVICE orkg:model 
    SERVICE orkg:evaluation 
    SERVICE orkg:label 
    SERVICE orkg:ontology 
    SERVICE orkg:datasetLabel 
    SERVICE orkg:modelLabel 
    SERVICE orkg:evaluationDatasetLabel 
    SERVICE orkg:evaluationTypeLabel 
    SERVICE orkg:labelLabel 
    SERVICE orkg:ontologyLabel 
    SERVICE orkg:queryLabel 
    SERVICE orkg:query 
    SERVICE orkg:dataset 
    SERVICE orkg:model 
    SERVICE orkg:evaluation 
    SERVICE orkg:label 
    SERVICE orkg:ontology 
    SERVICE orkg:datasetLabel 
    SERVICE orkg:modelLabel 
    SERVICE orkg:evaluationDatasetLabel 
    SERVICE or
