Question:
Could you provide a list of models that have been tested on the NLP-TDMS (Exp, arXiv only) benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/ontology#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX w3c: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX vocab: <http://purl.org/vocab/vocab.html#>
     PREFIX orkgModel: <http://orkg.org/model#>
     PREFIX orkgDataset: <http://orkg.org/dataset#>
     PREFIX orkgBenchmark: <http://orkg.org/benchmark#>
     PREFIX orkgSource: <http://orkg.org/source#>
     PREFIX orkgAuthor: <http://orkg.org/author#>
     PREFIX orkgPublication: <http://orkg.org/publication#>
     PREFIX orkgCategory: <http://orkg.org/category#>
     PREFIX orkgType: <http://orkg.org/type#>
     PREFIX orkgEvent: <http://orkg.org/event#>
     PREFIX orkgLocation: <http://orkg.org/location#>
     PREFIX orkgOrganization: <http://orkg.org/organization#>
     PREFIX orkgAffiliation: <http://orkg.org/affiliation#>
     PREFIX orkgFunding: <http://orkg.org/funding#>
     PREFIX orkgInstitution: <http://orkg.org/institution#>
     PREFIX orkgTopic: <http://orkg.org/topic#>
     PREFIX orkgKeyword: <http://orkg.org/keyword#>
     PREFIX orkgDate: <http://orkg.org/date#>
     PREFIX orkgFormat: <http://orkg.org/format#>
     PREFIX orkgTypeOf: <http://orkg.org/typeOf#>
     PREFIX orkgUsage: <http://orkg.org/usage#>
     PREFIX orkgVersion: <http://orkg.org/version#>
     PREFIX orkgModelSource: <http://orkg.org/modelSource#>
     PREFIX orkgModelVersion: <http://orkg.org/modelVersion#>
     PREFIX orkgDatasetSource: <http://orkg.org/datasetSource#>
     PREFIX orkgDatasetVersion: <http://orkg.org/datasetVersion#>
     PREFIX orkgBenchmarkSource: <http://orkg.org/benchmarkSource#>
     PREFIX orkgBenchmarkVersion: <http://orkg.org/benchmarkVersion#>
     PREFIX orkgBenchmarkType: <http://orkg.org/benchmarkType#>
     PREFIX orkgBenchmarkCategory: <http://orkg.org/benchmarkCategory#>
     PREFIX orkgBenchmarkDataset: <http://orkg.org/benchmarkDataset#>
     PREFIX orkgBenchmarkSourceCategory: <http://orkg.org/benchmarkSourceCategory#>
     PREFIX orkgAuthorAffiliation: <http://orkg.org/authorAffiliation#>
     PREFIX orkgPublicationAffiliation: <http://orkg.org/publicationAffiliation#>
     PREFIX orkgModelAffiliation: <http://orkg.org/modelAffiliation#>
     PREFIX orkgPublicationAffiliationCategory: <http://orkg.org/publicationAffiliationCategory#>
     PREFIX orkgPublicationSourceCategory: <http://orkg.org/publicationSourceCategory#>
     PREFIX orkgPublicationFormatCategory: <http://orkg.org/publicationFormatCategory#>
     PREFIX orkgPublicationTopicCategory: <http://orkg.org/publicationTopicCategory#>
     PREFIX orkgPublicationAffiliationCategory: <http://orkg.org/publicationAffiliationCategory#>
     PREFIX orkgPublicationSourceCategory: <http://orkg.org/publicationSourceCategory#>
     PREFIX orkgPublicationTopicCategory: <http://orkg.org/publicationTopicCategory#>
     PREFIX orkgPublicationFormatCategory: <http://orkg.org/publicationFormatCategory#>
     PREFIX orkgPublicationKeywordCategory: <http://orkg.org/publicationKeywordCategory#>
     PREFIX orkgPublicationAffiliationCategory: <
