Question:
List the metrics that are used to evaluate models on the ART/CoreSC benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearchknowledgegraph.org/ontology/>
     PREFIX art: <http://www.openresearchknowledgegraph.org/ontology/#ART>
     PREFIX coresc: <http://www.openresearchknowledgegraph.org/ontology/#CoreSC>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     SELECT?metric 
     WHERE {
      ?metric rdfs:label?metricLabel.
       FILTER (CONTAINS(?metricLabel, "F1 score") OR CONTAINS(?metricLabel, "Precision") OR CONTAINS(?metricLabel, "Recall") OR CONTAINS(?metricLabel, "Area under the ROC curve") OR CONTAINS(?metricLabel, "Area under the PR curve") OR CONTAINS(?metricLabel, "AUC-PR") OR CONTAINS(?metricLabel, "AUC-ROC") OR CONTAINS(?metricLabel, "Mean squared error") OR CONTAINS(?metricLabel, "Mean absolute error") OR CONTAINS(?metricLabel, "Mean absolute percentage error") OR CONTAINS(?metricLabel, "Mean squared logarithmic error") OR CONTAINS(?metricLabel, "Mean absolute logarithmic error") OR CONTAINS(?metricLabel, "Brier score") OR CONTAINS(?metricLabel, "Log loss") OR CONTAINS(?metricLabel, "Mean squared error for class weights") OR CONTAINS(?metricLabel, "Mean absolute error for class weights") OR CONTAINS(?metricLabel, "Mean absolute percentage error for class weights") OR CONTAINS(?metricLabel, "Mean squared logarithmic error for class weights") OR CONTAINS(?metricLabel, "Mean absolute logarithmic error for class weights") OR CONTAINS(?metricLabel, "Brier score for class weights") OR CONTAINS(?metricLabel, "Log loss for class weights") OR CONTAINS(?metricLabel, "F1 score for class weights") OR CONTAINS(?metricLabel, "Precision for class weights") OR CONTAINS(?metricLabel, "Recall for class weights"))
     } 
    LIMIT 20
    END {?metric rdfs:label?metricLabel. } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { }
