Question:
What are the metrics of evaluation over the ObjectNet dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearch.org/ontology/orkg#>
     PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX bio2vec: <http://www.openresearch.org/ontology/bio2vec#>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dcterms: <http://purl.org/dc/terms/>
     PREFIX orkg_metrics: <http://www.openresearch.org/ontology/orkg_metrics#>
     PREFIX orkg_dataset: <http://www.openresearch.org/ontology/orkg_dataset#>
     PREFIX orkg_contribution: <http://www.openresearch.org/ontology/orkg_contribution#>
     PREFIX orkg_author: <http://www.openresearch.org/ontology/orkg_author#>
     PREFIX orkg_project: <http://www.openresearch.org/ontology/orkg_project#>
     PREFIX orkg_topic: <http://www.openresearch.org/ontology/orkg_topic#>
     PREFIX orkg_dataset_version: <http://www.openresearch.org/ontology/orkg_dataset_version#>
     PREFIX orkg_evaluation: <http://www.openresearch.org/ontology/orkg_evaluation#>
     PREFIX orkg_metric: <http://www.openresearch.org/ontology/orkg_metric#>
     PREFIX orkg_metric_type: <http://www.openresearch.org/ontology/orkg_metric_type#>
     PREFIX orkg_metric_value: <http://www.openresearch.org/ontology/orkg_metric_value#>
     PREFIX orkg_metric_unit: <http://www.openresearch.org/ontology/orkg_metric_unit#>
     PREFIX orkg_dataset_type: <http://www.openresearch.org/ontology/orkg_dataset_type#>
     PREFIX orkg_evaluation_type: <http://www.openresearch.org/ontology/orkg_evaluation_type#>
     PREFIX orkg_metric_value_type: <http://www.openresearch.org/ontology/orkg_metric_value_type#>
     PREFIX orkg_metric_unit_type: <http://www.openresearch.org/ontology/orkg_metric_unit_type#>
     PREFIX orkg_contribution_evaluation: <http://www.openresearch.org/ontology/orkg_contribution_evaluation#>
     PREFIX orkg_dataset_version_evaluation: <http://www.openresearch.org/ontology/orkg_dataset_version_evaluation#>
     PREFIX orkg_author_evaluation: <http://www.openresearch.org/ontology/orkg_author_evaluation#>
     PREFIX orkg_project_evaluation: <http://www.openresearch.org/ontology/orkg_project_evaluation#>
     PREFIX orkg_topic_evaluation: <http://www.openresearch.org/ontology/orkg_topic_evaluation#>
     PREFIX orkg_evaluation_subject: <http://www.openresearch.org/ontology/orkg_evaluation_subject#>
     PREFIX orkg_evaluation_object: <http://www.openresearch.org/ontology/orkg_evaluation_subject#>
     PREFIX orkg_evaluation_result: <http://www.openresearch.org/ontology/orkg_evaluation_result#>
     PREFIX orkg_evaluation_subject_type: <http://www.openresearch.org/ontology/orkg_evaluation_subject_type#>
     PREFIX orkg_evaluation_object_type: <http://www.openresearch.org/ontology/orkg_evaluation_object_type#>
     PREFIX orkg_evaluation_result_type: <http://www.openresearch.org/ontology/orkg_evaluation_result_type#>
     PREFIX orkg_evaluation_metric: <http://www.openresearch.org/ontology/orkg_evaluation_metric#>
     PREFIX orkg_evaluation_metric_value: <http://www.openresearch.org/ontology/orkg_evaluation_metric_value#>
     PREFIX orkg_evaluation_metric_unit: <http://www.openresearch.org/ontology/orkg_evaluation_metric_unit#>
     PREFIX orkg_evaluation_metric_type: <http://www.openresearch.org/ontology/orkg_evaluation_metric_type#>
     PREFIX orkg_evaluation_metric_value_type: <http://www.openresearch.org/ontology/orkg_evaluation_metric_value_type#>
     PREFIX orkg_evaluation_metric_unit_type: <http://www.openresearch.org/ontology/orkg_metric_unit_type#>
     PREFIX orkg_dataset_type_evaluation: <http://www.openresearch.org/
