Question:
What is the highest benchmark result achieved on the WNLI dataset, including the metric and its value?

Generated SPARQL:
 PREFIX orkg: <http://openresearchknowledgegraph.org/ontology/>
     PREFIX owl: <http://www.w3.org/OWL#>
     PREFIX rdfs: <http://www.w3.org/RDFLib/#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX wiki: <http://en.wikipedia.org/ontology/>
     PREFIX wiki2: <http://en.wikibooks.org/ontology/>
     PREFIX wikidata: <http://wikidata.org/prop/direct/>
     PREFIX wnli: <http://openresearchknowledgegraph.org/ontology/#WNLI>
     PREFIX wsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd2: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd3: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd4: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd5: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd6: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd7: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd8: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd9: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd10: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd11: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd12: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd13: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd14: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd15: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd16: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd17: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd18: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd19: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd20: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd21: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd22: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd23: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd24: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd25: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd26: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd27: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd28: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd29: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd30: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd31: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd32: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd33: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd34: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd35: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd36: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd37: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd38: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd39: <http://www.w3.org/2001/XMLSchema#>
     PREFIX wsd40: <http://www.w3.org
