Question:
Provide a list of papers that have utilized the Table-Sequence model and include the links to their code?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/ontology/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX schema: <http://schema.org/>
     PREFIX wgs: <http://www.w3.org/2001/10/xgrdl#>
     PREFIX owl: <http://www.w3.org/ontology/>

     SELECT?paper?title?url 
     WHERE {
    ?paper schema:hasPart?code.
    ?paper schema:hasPart?code2.
    ?paper schema:hasPart?code3.
    ?code schema:hasVersion?version.
    ?version schema:hasCode?code.
    ?code schema:hasModel?model.
    ?model schema:hasModel?tableSequence.
    ?paper schema:label?title.
    ?paper schema:identifier?paperIdentifier.
    ?paper schema:identifier?paperIdentifier2.
    ?paper schema:identifier?paperIdentifier3.
    ?paper schema:identifier?paperIdentifier4.
    ?paper schema:identifier?paperIdentifier5.
    ?paper schema:identifier?paperIdentifier6.
    ?paper schema:identifier?paperIdentifier7.
    ?paper schema:identifier?paperIdentifier8.
    ?paper schema:identifier?paperIdentifier9.
    ?paper schema:identifier?paperIdentifier10.
    ?paper schema:identifier?paperIdentifier11.
    ?paper schema:identifier?paperIdentifier12.
    ?paper schema:identifier?paperIdentifier13.
    ?paper schema:identifier?paperIdentifier14.
    ?paper schema:identifier?paperIdentifier15.
    ?paper schema:identifier?paperIdentifier16.
    ?paper schema:identifier?paperIdentifier17.
    ?paper schema:identifier?paperIdentifier18.
    ?paper schema:identifier?paperIdentifier19.
    ?paper schema:identifier?paperIdentifier20.
    ?paper schema:identifier?paperIdentifier21.
    ?paper schema:identifier?paperIdentifier22.
    ?paper schema:identifier?paperIdentifier23.
    ?paper schema:identifier?paperIdentifier24.
    ?paper schema:identifier?paperIdentifier25.
    ?paper schema:identifier?paperIdentifier26.
    ?paper schema:identifier?paperIdentifier27.
    ?paper schema:identifier?paperIdentifier28.
    ?paper schema:identifier?paperIdentifier29.
    ?paper schema:identifier?paperIdentifier30.
    ?paper schema:identifier?paperIdentifier31.
    ?paper schema:identifier?paperIdentifier32.
    ?paper schema:identifier?paperIdentifier33.
    ?paper schema:identifier?paperIdentifier34.
    ?paper schema:identifier?paperIdentifier35.
    ?paper schema:identifier?paperIdentifier36.
    ?paper schema:identifier?paperIdentifier37.
    ?paper schema:identifier?paperIdentifier38.
    ?paper schema:identifier?paperIdentifier39.
    ?paper schema:identifier?paperIdentifier40.
    ?paper schema:identifier?paperIdentifier41.
    ?paper schema:identifier?paperIdentifier42.
    ?paper schema:identifier?paperIdentifier43.
    ?paper schema:identifier?paperIdentifier44.
    ?paper schema:identifier?paperIdentifier45.
    ?paper schema:identifier?paperIdentifier46.
    ?paper schema:identifier?paperIdentifier47.
    ?paper schema:identifier?paperIdentifier48.
    ?paper schema:identifier?paperIdentifier49.
    ?paper schema:identifier?paperIdentifier50.
    ?paper schema:identifier?paperIdentifier51.
    ?paper schema:identifier?paperIdentifier52.
    ?paper schema:identifier?paperIdentifier53.
    ?paper schema:identifier?paperIdentifier54.
    ?paper schema:identifier?paperIdentifier55.
    ?paper schema:identifier?paperIdentifier56.
    ?paper schema:identifier?paperIdentifier57.
    ?paper schema:identifier?paperIdentifier58.
    ?paper schema:identifier?paperIdentifier59.
    ?paper schema:identifier?paperIdentifier60.
    ?paper schema:identifier?paperIdentifier61.
    ?paper schema:identifier?paperIdentifier62.
    ?paper schema:identifier?paperIdentifier63.
    ?paper schema:identifier?paperIdentifier64.
    ?paper schema:identifier?paperIdentifier65.
    ?paper schema:identifier?
