Question:
Can you provide links to code used in papers that benchmark the BiDAF + Self Attention + ELMo (single model) model?

Generated SPARQL:
 PREFIX orkg: <http://orkg.io/sparql/>
     PREFIX w3c: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX biidfes: <http://example.org/biidfes/>
     PREFIX dce: <http://example.org/dce/>
     PREFIX dbpedia: <http://dbpedia.org/resource/>
     PREFIX schema: <http://schema.org/>
     PREFIX vocab: <http://schema.org/Vocabulary#>
     PREFIX bib: <http://biblio.org/bibo/>
     PREFIX wot: <http://www.wot semantic.org/2008-11-21/ontology#>
     PREFIX vcard: <http://www.w3.org/2006/vcard/ns#>
     PREFIX dc: <http://purl.org/dc/elements/1.1/>
     PREFIX org: <http://schema.org/Organization>
     PREFIX orgPerson: <http://schema.org/OrganizationPerson>
     PREFIX orgEvent: <http://schema.org/OrganizationEvent>
     PREFIX orgContact: <http://schema.org/OrganizationContact>
     PREFIX orgLocation: <http://schema.org/OrganizationLocation>
     PREFIX orgLog: <http://schema.org/OrganizationLog>
     PREFIX orgPersonContact: <http://schema.org/OrganizationPersonContact>
     PREFIX orgPersonEvent: <http://schema.org/OrganizationPersonEvent>
     PREFIX orgPersonLocation: <http://schema.org/OrganizationPersonLocation>
     PREFIX orgPersonWorkExperience: <http://schema.org/OrganizationPersonWorkExperience>
     PREFIX orgPersonWorkInformation: <http://schema.org/OrganizationPersonWorkInformation>
     PREFIX orgPersonWorkOrganization: <http://schema.org/OrganizationPersonWorkOrganization>
     PREFIX orgPersonWorkOrganizationEvent: <http://schema.org/OrganizationPersonWorkOrganizationEvent>
     PREFIX orgPersonWorkOrganizationLocation: <http://schema.org/OrganizationPersonWorkOrganizationLocation>
     PREFIX orgPersonWorkOrganizationEvent: <http://schema.org/OrganizationPersonWorkOrganizationEvent>
     PREFIX orgPersonWorkOrganizationContact: <http://schema.org/OrganizationPersonWorkOrganizationContact>
     PREFIX orgPersonWorkOrganizationEvent: <http://schema.org/OrganizationPersonWorkOrganizationEvent>
     PREFIX orgPersonWorkOrganizationLocation: <http://schema.org/OrganizationPersonWorkOrganizationLocation>
     PREFIX orgPersonWorkOrganizationContact: <http://schema.org/OrganizationPersonWorkOrganizationContact>
     PREFIX orgPersonWorkOrganizationEvent: <http://schema.org/OrganizationPersonWorkOrganizationEvent>
     PREFIX orgPersonWorkOrganizationLocation: <http://schema.org/OrganizationPersonWorkOrganizationLocation>
     PREFIX orgPersonWorkOrganizationContact: <http://schema.org/OrganizationPersonWorkOrganizationContact>
     PREFIX orgPersonWorkOrganizationEvent: <http://schema.org/OrganizationPersonWorkOrganizationEvent>
     PREFIX orgPersonWorkOrganizationLocation: <http://schema.org/OrganizationPersonWorkOrganizationLocation>
     PREFIX orgPersonWorkOrganizationContact: <http://schema.org/OrganizationPersonWorkOrganizationContact>
     PREFIX orgPersonWorkOrganizationEvent: <http://schema.org/OrganizationPersonWorkOrganizationEvent>
     PREFIX schema: <http://schema.org/>
     PREFIX vocab: <http://schema.org/Vocabulary#>
     PREFIX bib: <http://biblio.org/bibo/>
     PREFIX wot: <http://www.wot semantic.org/2008-11-21/ontology#>
     PREFIX vcard: <http://www.w3.org/2006/vcard/ns#>
     PREFIX dc: <http://purl.org/dc/elements/1.1/>
     PREFIX org: <http://schema.org/Organization>
     PREFIX orgPerson: <http://schema.org/OrganizationPerson>
     PREFIX orgEvent: <http://schema.org/OrganizationEvent>
     PREFIX orgContact: <http://schema.org/OrganizationContact>
     PREFIX orgLocation: <http://schema.org/OrganizationLocation>
     PREFIX orgLog: <http://schema.org/OrganizationLog>
     PREFIX orgPersonContact:
