Question:
Where can all the data sets used in the compared studies be found?

Generated SPARQL:
 PREFIX orkg: <http://purl.org/linkeddata/orkg/>
     PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX dcterms: <http://purl.org/dc/terms/>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     SELECT?dataset 
     WHERE {
      ?dataset a orkg:Dataset.
      ?dataset schema:datasetType schema:Dataset.
      ?study a orkg:Study.
      ?study schema:studyType schema:ComparativeStudy.
      ?study orkg:usesDataset?dataset.
      ?dataset schema:datasetFormat schema:Tabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:DatasetFormatTabular.
      ?dataset schema:datasetFormat schema:
