Question:
List the code links in papers that use the 12-layer Transformer-XL model in any benchmark?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P34?code.
      ?code orkgp:P4008?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "12-layer Transformer-XL"))
      ?contrib orkgp:P5043?benchmark.
      ?benchmark orkgp:HAS_BENCHMARK?cont.
      ?cont orkgp:P5042?eval.
      ?eval orkgp:P5044?dataset.
      ?dataset orkgp:P5045?has_dataset.
      ?has_dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "any"))
     }<|eot_id|>
