Question:
Provide a list of papers that have utilized the CRF with sentence expansion model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?implementation.
      ?implementation orkgp:P5047?code.
      ?paper orkgp:P5048?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(STR(?model_lbl), "CRF with sentence expansion"))
      ?cont orkgp:P5049?method.
      ?method rdfs:label?method_lbl.
       FILTER(REGEX(STR(?method_lbl), "CRF with sentence expansion"))
      ?cont orkgp:P5050?dataset.
      ?dataset orkgp:P5046?benchmark.
      ?benchmark orkgp:P5047?eval.
      ?eval orkgp:P5048?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(STR(?model_lbl), "CRF with sentence expansion"))
      ?cont orkgp:P5051?approach.
      ?approach rdfs:label?approach_lbl.
       FILTER(REGEX(STR(?approach_lbl), "CRF with sentence expansion"))
     }<|eot_id|>
