Question:
Provide a list of papers that have utilized the CL-Titles-Parser model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P34?eval.
       FILTER(REGEX(?eval, "CL-Titles-Parser"))
      ?eval orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset2.
      ?dataset2 orkgp:P32?implementation.
      ?implementation orkgp:P43144?code.
      ?cont orkgp:P43145?method.
       FILTER(REGEX(?method, "CL-Titles-Parser"))
     }<|eot_id|>
