Question:
Provide a list of papers that have utilized the A3C FF hs model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?implementation.
      ?implementation orkgp:P5047?code.
      ?paper orkgp:P5048?method.
       FILTER(REGEX(?method, "A3C FF hs"))
      ?paper orkgp:P31?eval.
      ?eval orkgp:P5049?benchmark.
      ?benchmark orkgp:P5050?has_dataset.
      ?has_dataset orkgp:P5051?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "cifar10"^^xsd:string))
     }<|eot_id|>
