Question:
Where can I find code references in papers that have used the DCN model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
        ?paper orkgp:P30?cont.
        ?cont. orkgp:P31?model.
        ?model rdfs:label?model_lbl.
         FILTER(REGEX(?model_lbl, "DCN"))
        ?model orkgp:P32?benchmark.
        ?benchmark orkgp:P33?cont.
        ?cont. orkgp:P34?code.
        ?code rdfs:label?code_lbl.
         FILTER(REGEX(?code_lbl, "code"))
     }<|eot_id|>
