Question:
Provide a list of papers that have utilized the SAC model and include the links to their code?

Generated SPARQL:
 SELECT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?implementation.
      ?implementation orkgp:P5044?code.
      ?paper orkgp:HAS_DATASET?dataset.
       FILTER(REGEX(?dataset, "SAC"))
      ?paper orkgp:HAS_METHOD?method.
       FILTER(REGEX(?method, "SAC"))
      ?paper orkgp:P31?eval.
      ?eval orkgp:HAS_VALUE?value.
      ?value orkgp:HAS_DATASET?dataset.
       FILTER(REGEX(?dataset, "SAC"))
      ?paper orkgp:P31?approach.
      ?approach rdfs:label?title.
      ?paper orkgp:P31?cont.
      ?cont orkgp:P5044?code.
      ?code rdfs:label?code
     }<|eot_id|>
