Question:
Can you provide links to code used in papers that benchmark the ImageNet + iNat on WS-DAN model?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
        ?paper orkgp:P31?paper.
        ?paper orkgp:P32?benchmark.
        ?benchmark orkgp:P3376?model.
        ?model orkgp:P3377?model_labels.
        ?model_labels rdfs:label?model_labels_labels.
        ?model_labels_labels rdfs:label?model.
        ?model orkgp:P3378?dataset.
        ?dataset orkgp:P3749?dataset_labels.
        ?dataset_labels rdfs:label?dataset_labels_labels.
         FILTER(REGEX(STR(?dataset_labels_labels), "ImageNet + iNat on WS-DAN"))
        ?paper orkgp:P3748?code.
        ?code rdfs:label?code.
      }<|eot_id|>
