Question:
Where can I find code references in papers that have used the BiDAF + Self Attention + ELMo model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P34?eval.
      ?eval orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P37513?implementation.
      ?implementation orkgp:P37512?method.
       FILTER(REGEX(?method, "BiDAF + Self Attention + ELMo"))
     }<|eot_id|>
