Question:
Can you list the metrics used to evaluate models on the TDM Tagged Corpus dataset?

Generated SPARQL:
 PREFIX orkg: <http://openresearchknowledgegraph.org/ns/orkg#>
     PREFIX orkg: <http://openresearchknowledgegraph.org/ns/orkg#>
     SELECT?metric
     WHERE {
    ?metric orkg:isMetricForEvaluation?metric.
    ?metric orkg:evaluation?evaluation.
     FILTER (STRIKE (?evaluation, "accuracy") OR
     STRIKE (?evaluation, "recall") OR
     STRIKE (?evaluation, "macro-F1") OR
     STRIKE (?evaluation, "micro-F1") OR
     STRIKE (?evaluation, "NDCG@10") OR
     STRIKE (?evaluation, "Avg Accuracy") OR
     STRIKE (?evaluation, "Avg F1") OR
     STRIKE (?evaluation, "Avg Recall") OR
     STRIKE (?evaluation, "Avg Length") OR
     STRIKE (?evaluation, "Avg Entity") OR
     STRIKE (?evaluation, "Avg Concept") OR
     STRIKE (?evaluation, "has uncertainty value") OR
     STRIKE (?evaluation, "has uncertainty unit") OR
     STRIKE (?evaluation, "Quantitative methods") OR
     STRIKE (?evaluation, "classification system") OR
     STRIKE (?evaluation, "lesson learned") OR
     STRIKE (?evaluation, "property of the dataset") OR
     STRIKE (?evaluation, "annotation type") OR
     STRIKE (?evaluation, "has training set") OR
     STRIKE (?evaluation, "has validation set") OR
     STRIKE (?evaluation, "data splitting method") OR
     STRIKE (?evaluation, "reporting level") OR
     STRIKE (?evaluation, "iteration") OR
     STRIKE (?evaluation, "text features") OR
     STRIKE (?evaluation, "Averages") OR
     STRIKE (?evaluation, "NLP techniques") OR
     STRIKE (?evaluation, "token per news") OR
     STRIKE (?evaluation, "controller") OR
     STRIKE (?evaluation, "plane")
     }
    <|eot_id|>
