Question:
Provide a list of papers that have utilized the Funnel Transformer model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?implementation.
      ?implementation orkgp:P5047?code.
      ?paper orkgp:P5048?method.
       FILTER(REGEX(?method, "Funnel Transformer"))
      ?paper orkgp:P5049?eval.
      ?eval orkgp:P5050?dataset.
      ?dataset orkgp:P5051?approach.
      ?approach rdfs:label?approach_label.
       FILTER(REGEX(?approach_label, "Funnel Transformer"))
     }<|eot_id|>
