Question:
Where can I find code references in papers that have used the Pointer + Coverage + EntailmentGen + QuestionGen model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "Pointer + Coverage + EntailmentGen + QuestionGen"))
      ?cont orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_SOURCE_CODE?code.
      ?code orkgp:P37523?implementation.
      ?implementation orkgp:HAS_IMPLEMENTATION?implementation_lbl.
       FILTER(REGEX(?implementation_lbl, "code"))
     }<|eot_id|>
