Question:
What is the name of the top performing model in terms of Params score when benchmarked on the VTAB-1k dataset?

Generated SPARQL:
 SELECT DISTINCT?model?model_lbl
     WHERE {
      ?model orkgp:P32?cont.
      ?cont orkgp:P31?dataset.
      ?dataset orkgp:HAS_DATASET?dataset_lbl.
      ?dataset orkgp:P5009?benchmark.
      ?benchmark orkgp:HAS_VALUE?value.
      ?value orkgp:P5008?model_lbl.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(STR(?model_lbl), "^[^;]*"))
     }<|eot_id|>
