Question:
Can you list the models that have been evaluated on the SciTLDR dataset?

Generated SPARQL:
 SELECT DISTINCT?model?model_lbl
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?eval.
      ?eval orkgp:HAS_DATASET?dataset.
       FILTER(REGEX(?dataset, "SciTLDR"))
      ?eval orkgp:HAS_EVALUATION?evalu?evalu_at.
      ?evalu orkgp:HAS_METHOD?method.
      ?method rdfs:label?method_lbl.
      ?evalu orkgp:HAS_IMPLEMENTATION?implement.
      ?implement orkgp:P31?model.
     }<|eot_id|>
