Question:
Where can I find code references in papers that have used the BiDAF + Self Attention + ELMo model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
        ?paper orkgp:P31?cont.
        ?cont orkgp:P32?paper.
        ?paper orkgp:P37530?model.
        ?model rdfs:label?model_lbl.
         FILTER(REGEX(?model_lbl, "BiDAF + Self Attention + ELMo"))
        ?paper orkgp:P37531?benchmark.
        ?benchmark orkgp:P37533?cont.
        ?cont rdfs:label?cont_lbl.
         FILTER(REGEX(?cont_lbl, "benchmark"))
        ?cont orkgp:P37527?code.
     }<|eot_id|>
