Question:
Can you provide the highest benchmark result, including the metric and score, for the WMT2014 French-English dataset?

Generated SPARQL:
 SELECT DISTINCT?metric?score
     WHERE {
       orkgr:R69042 orkgp:HAS_EVALUATION?eval.
      ?eval orkgp:P70321?metric.
      ?metric rdfs:label?metric_lbl.
       FILTER(REGEX(?metric_lbl, "WMT2014 French-English"))
      ?eval orkgp:P70322?score.
      ?score rdfs:label?score_lbl.
       FILTER(REGEX(?score_lbl, "higher is better"))
      ?eval orkgp:P70323?cont.
      ?cont orkgp:P70324?system.
      ?system rdfs:label?system_lbl.
       FILTER(REGEX(?system_lbl, "your system name"))
      ?eval orkgp:P70325?method.
      ?method rdfs:label?method_lbl.
       FILTER(REGEX(?method_lbl, "your method name"))
     }
     ORDER BY DESC(?score)
     LIMIT 1<|eot_id|>
